tempo	vel	tempo	pos	tempo	in	tempo	esf
5070	-0,0732422	5070	4,11621	5070	4	5070	-0,0833176
5071	-0,0683594	5071	4,11621	5071	4	5071	-0,081341
5072	-0,0732422	5072	4,10645	5072	4	5072	-0,0435955
5073	-0,0732422	5073	4,11133	5073	4	5073	-0,0655833
5074	-0,0732422	5074	4,11133	5074	4	5074	-0,0661869
5075	-0,0732422	5075	4,11133	5075	4	5075	-0,0666846
5076	-0,0732422	5076	4,11621	5076	4	5076	-0,0851528
5077	-0,0683594	5077	4,11133	5077	4	5077	-0,0647964
5078	-0,0683594	5078	4,11621	5078	4	5078	-0,0835959
5079	-0,078125	5079	4,11621	5079	4	5079	-0,0815705
5080	-0,0732422	5080	4,11133	5080	4	5080	-0,0618425
5081	-0,0732422	5081	4,11133	5081	4	5081	-0,0631024
5082	-0,0732422	5082	4,11621	5082	4	5082	-0,0821991
5083	-0,0732422	5083	4,11133	5083	4	5083	-0,0623609
5084	-0,0683594	5084	4,11133	5084	4	5084	-0,0635298
5085	-0,0732422	5085	4,11133	5085	4	5085	-0,0644936
5086	-0,0732422	5086	4,11133	5086	4	5086	-0,0652884
5087	-0,0732422	5087	4,11621	5087	4	5087	-0,0840015
5088	-0,0732422	5088	4,11621	5088	4	5088	-0,081905
5089	-0,0732422	5089	4,11133	5089	4	5089	-0,0621184
5090	-0,0732422	5090	4,11133	5090	4	5090	-0,0633298
5091	-0,078125	5091	4,11621	5091	4	5091	-0,0823866
5092	-0,0732422	5092	4,11133	5092	4	5092	-0,0625155
5093	-0,0732422	5093	4,11133	5093	4	5093	-0,0636573
5094	-0,0732422	5094	4,11133	5094	4	5094	-0,0645988
5095	-0,078125	5095	4,11621	5095	4	5095	-0,0834329
5096	-0,0732422	5096	4,11133	5096	4	5096	-0,0633782
5097	-0,0732422	5097	4,11133	5097	4	5097	-0,0643687
5098	-0,0732422	5098	4,11133	5098	4	5098	-0,0651853
