tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                      1014                   -0,473633             1014            -1,6748                1014                    -6          1014        -1,31676
                      1015                   -0,463867             1015           -1,72852                1015                    -6          1015        -1,32191
                      1016                    -0,46875             1016           -1,78711                1016                    -6          1016        -1,31808
                      1017                   -0,473633             1017           -2,03613                1017                    -6          1017        -1,31453
                      1018                    -0,46875             1018           -1,91895                1018                    -6          1018          -1,317
                      1019                   -0,473633             1019           -1,96777                1019                    -6          1019        -1,31355
                      1020                   -0,488281             1020           -2,03125                1020                    -6          1020        -1,30454
                      1021                   -0,493164             1021           -2,22168                1021                    -6          1021        -1,30188
                      1022                   -0,512695             1022           -2,14355                1022                    -6          1022        -1,29068
                      1023                   -0,498047             1023           -2,20215                1023                    -6          1023         -1,3004
                      1024                   -0,517578             1024           -2,26074                1024                    -6          1024        -1,28923
                      1025                   -0,532227             1025           -2,33398                1025                    -6          1025        -1,28161
                      1026                   -0,532227             1026           -2,39258                1026                    -6          1026        -1,28309
                      1027                   -0,537109             1027            -2,4707                1027                    -6          1027        -1,28153
                      1028                   -0,541992             1028           -2,53418                1028                    -6          1028        -1,28001
                      1029                   -0,546875             1029           -2,60254                1029                    -6          1029        -1,27852
                      1030                   -0,522461             1030           -2,66602                1030                    -6          1030        -1,29444
                      1031                   -0,517578             1031           -2,73438                1031                    -6          1031        -1,29776
                      1032                   -0,483398             1032           -2,79297                1032                    -6          1032        -1,31823
                      1033                   -0,483398             1033           -2,84668                1033                    -6          1033        -1,31721
                      1034                   -0,478516             1034           -2,90039                1034                    -6          1034        -1,31918
                      1035                   -0,473633             1035           -2,96387                1035                    -6          1035        -1,32107
                      1036                   -0,473633             1036           -3,03711                1036                    -6          1036        -1,31999
                      1037                   -0,493164             1037           -3,10547                1037                    -6          1037        -1,30745
                      1038                   -0,483398             1038           -3,14941                1038                    -6          1038        -1,31306
                      1039                   -0,473633             1039           -3,20313                1039                    -6          1039        -1,31834
                      1040                   -0,473633             1040           -3,26172                1040                    -6          1040        -1,31754
                      1041                   -0,463867             1041           -3,30566                1041                    -6          1041         -1,3226
                      1042                   -0,458984             1042           -3,35938                1042                    -6          1042         -1,3245
                      1043                   -0,458984             1043           -3,42773                1043                    -6          1043        -1,32342
                      1044                    -0,46875             1044           -3,49121                1044                    -6          1044        -1,31667
                      1045                   -0,458984             1045           -3,54492                1045                    -6          1045        -1,32194
                      1046                    -0,46875             1046            -3,6084                1046                    -6          1046        -1,31533
                      1047                   -0,473633             1047           -3,67188                1047                    -6          1047        -1,31205
                      1048                   -0,483398             1048           -3,71094                1048                    -6          1048        -1,30609
                      1049                   -0,488281             1049           -3,76465                1049                    -6          1049        -1,30338
                      1050                    -0,50293             1050           -3,84277                1050                    -6          1050        -1,29505
                      1051                   -0,493164             1051           -3,90137                1051                    -6          1051        -1,30166
                      1052                   -0,512695             1052           -3,97461                1052                    -6          1052        -1,29049
                      1053                   -0,537109             1053           -4,03809                1053                    -6          1053        -1,27707
                      1054                   -0,541992             1054           -4,09668                1054                    -6          1054          -1,276
                      1055                   -0,541992             1055           -4,16016                1055                    -6          1055        -1,27781
                      1056                   -0,532227             1056            -4,2334                1056                    -6          1056        -1,28522
                      1057                   -0,546875             1057           -4,28711                1057                    -6          1057        -1,27766
                      1058                   -0,541992             1058           -4,35547                1058                    -6          1058        -1,28208
                      1059                   -0,512695             1059           -4,41406                1059                    -6          1059        -1,30065
                      1060                   -0,488281             1060           -4,47266                1060                    -6          1060        -1,31516
                      1061                   -0,498047             1061           -4,54102                1061                    -6          1061        -1,30854
                      1062                   -0,473633             1062           -4,60449                1062                    -6          1062        -1,32261
                      1063                   -0,493164             1063           -4,66309                1063                    -6          1063         -1,3098
                      1064                   -0,478516             1064           -4,72168                1064                    -6          1064        -1,31807
                      1065                   -0,483398             1065           -4,77539                1065                    -6          1065        -1,31428
                      1066                   -0,483398             1066           -4,83887                1066                    -6          1066        -1,31365
                      1067                    -0,46875             1067           -4,87793                1067                    -6          1067        -1,32177
                      1068                   -0,473633             1068           -5,09277                1068                    -6          1068        -1,31784
                      1069                   -0,473633             1069           -5,00488                1069                    -6          1069        -1,31709
                      1070                   -0,463867             1070           -5,05371                1070                    -6          1070         -1,3222
                      1071                   -0,458984             1071           -5,12695                1071                    -6          1071        -1,32413
                      1072                    -0,46875             1072           -5,37109                1072                    -6          1072        -1,31731
                      1073                   -0,463867             1073           -5,22949                1073                    -6          1073        -1,31962
                      1074                   -0,493164             1074            -5,2832                1074                    -6          1074        -1,30155
                      1075                    -0,46875             1075           -5,35645                1075                    -6          1075        -1,31644
                      1076                   -0,488281             1076           -5,44922                1076                    -6          1076        -1,30436
                      1077                   -0,488281             1077           -5,46875                1077                    -6          1077        -1,30461
                      1078                   -0,498047             1078           -5,52734                1078                    -6          1078        -1,29904
                      1079                   -0,498047             1079           -5,60547                1079                    -6          1079        -1,29959
                      1080                   -0,527344             1080           -5,65918                1080                    -6          1080        -1,28272
                      1081                   -0,522461             1081           -5,73731                1081                    -6          1081         -1,2871
                      1082                   -0,532227             1082           -5,79102                1082                    -6          1082        -1,28247
                      1083                   -0,546875             1083           -5,84473                1083                    -6          1083        -1,27518
                      1084                   -0,541992             1084           -5,91797                1084                    -6          1084        -1,27985
                      1085                   -0,546875             1085           -5,87402                1085                    -6          1085        -1,27838
                      1086                   -0,532227             1086           -6,04492                1086                    -6          1086        -1,28852
                      1087                   -0,532227             1087           -6,12793                1087                    -6          1087        -1,28931
                      1088                   -0,493164             1088           -6,17676                1088                    -6          1088        -1,31317
                      1089                   -0,498047             1089           -6,24512                1089                    -6          1089        -1,30953
                      1090                   -0,488281             1090           -6,30859                1090                    -6          1090        -1,31481
                      1091                   -0,493164             1091           -6,36231                1091                    -6          1091        -1,31112
                      1092                   -0,483398             1092           -6,41113                1092                    -6          1092        -1,31637
                      1093                   -0,493164             1093           -6,46484                1093                    -6          1093        -1,30974
                      1094                   -0,473633             1094           -6,54785                1094                    -6          1094        -1,32091
                      1095                   -0,478516             1095            -6,5918                1095                    -6          1095        -1,31695
                      1096                   -0,463867             1096           -6,65527                1096                    -6          1096        -1,32486
                      1097                   -0,478516             1097           -6,70899                1097                    -6          1097        -1,31495
                      1098                    -0,46875             1098           -6,77734                1098                    -6          1098        -1,32016
                      1099                   -0,463867             1099           -6,83594                1099                    -6          1099        -1,32218
                      1100                   -0,473633             1100           -6,88965                1100                    -6          1100        -1,31544
                      1101                    -0,46875             1101           -6,95313                1101                    -6          1101        -1,31782
                      1102                   -0,463867             1102           -7,00195                1102                    -6          1102        -1,32008
                      1103                   -0,498047             1103           -7,06543                1103                    -6          1103        -1,29907
                      1104                   -0,483398             1104           -7,11426                1104                    -6          1104         -1,3083
                      1105                   -0,493164             1105           -7,18262                1105                    -6          1105        -1,30248
                      1106                   -0,507813             1106           -7,23633                1106                    -6          1106        -1,29411
                      1107                   -0,507813             1107           -7,31445                1107                    -6          1107        -1,29492
                      1108                   -0,507813             1108           -7,36816                1108                    -6          1108        -1,29565
                      1109                   -0,522461             1109           -7,44141                1109                    -6          1109        -1,28762
                      1110                   -0,532227             1110           -7,50488                1110                    -6          1110        -1,28294
